T_A[K] T_B[K] CNT sr860x[V] sr860y[V] sr860f[Hz] sr860sin[V] yyyy-mm-dd hh:mm:ss.ccccc
113.885000 113.380000 218 0.14850043 -0.00174578 33.3330 1.0000000000 2022-12-21 22:13:20.545123
113.891667 113.386667 219 0.14844042 -0.00174407 33.3330 1.0000000000 2022-12-21 22:13:22.445841
113.895000 113.390000 220 0.14839626 -0.00174299 33.3330 1.0000000000 2022-12-21 22:13:24.304556
113.900000 113.400000 221 0.14835260 -0.00174079 33.3330 1.0000000000 2022-12-21 22:13:26.177022
113.908333 113.410000 222 0.14831420 -0.00173859 33.3330 1.0000000000 2022-12-21 22:13:28.048826
113.911667 113.411667 223 0.14826283 -0.00173750 33.3330 1.0000000000 2022-12-21 22:13:29.941076
113.920000 113.420000 224 0.14821154 -0.00173533 33.3330 1.0000000000 2022-12-21 22:13:31.809826
113.923333 113.430000 225 0.14815451 -0.00173316 33.3330 1.0000000000 2022-12-21 22:13:33.714029
113.928333 113.430000 226 0.14809875 -0.00173044 33.3330 1.0000000000 2022-12-21 22:13:35.561302
113.935000 113.431667 227 0.14803225 -0.00172749 33.3330 1.0000000000 2022-12-21 22:13:37.442405
113.940000 113.440000 228 0.14797928 -0.00172563 33.3330 1.0000000000 2022-12-21 22:13:39.345471
113.943333 113.441667 229 0.14791898 -0.00172367 33.3330 1.0000000000 2022-12-21 22:13:41.296619
113.955000 113.450000 230 0.14785898 -0.00172115 33.3330 1.0000000000 2022-12-21 22:13:43.184339
113.965000 113.460000 231 0.14779779 -0.00171908 33.3330 1.0000000000 2022-12-21 22:13:45.060571
113.970000 113.463333 232 0.14773192 -0.00171674 33.3330 1.0000000000 2022-12-21 22:13:46.944968
113.978333 113.470000 233 0.14766895 -0.00171456 33.3330 1.0000000000 2022-12-21 22:13:48.862594
113.981667 113.478333 234 0.14760604 -0.00171228 33.3330 1.0000000000 2022-12-21 22:13:50.707124
113.983333 113.490000 235 0.14754834 -0.00170963 33.3330 1.0000000000 2022-12-21 22:13:52.614785
113.985000 113.490000 236 0.14748670 -0.00170720 33.3330 1.0000000000 2022-12-21 22:13:54.489095
113.995000 113.495000 237 0.14741779 -0.00170498 33.3330 1.0000000000 2022-12-21 22:13:56.366851
114.001667 113.510000 238 0.14734878 -0.00170238 33.3330 1.0000000000 2022-12-21 22:13:58.249540
114.010000 113.520000 239 0.14729592 -0.00170053 33.3330 1.0000000000 2022-12-21 22:14:00.196793
114.020000 113.523333 240 0.14721568 -0.00169873 33.3330 1.0000000000 2022-12-21 22:14:02.088698
114.026667 113.525000 241 0.14714956 -0.00169513 33.3330 1.0000000000 2022-12-21 22:14:03.970954
114.030000 113.530000 242 0.14708446 -0.00169242 33.3330 1.0000000000 2022-12-21 22:14:05.846625
114.036667 113.533333 243 0.14701147 -0.00168925 33.3330 1.0000000000 2022-12-21 22:14:07.766699
114.045000 113.540000 244 0.14694484 -0.00168621 33.3330 1.0000000000 2022-12-21 22:14:09.626002
114.051667 113.541667 245 0.14685786 -0.00168377 33.3330 1.0000000000 2022-12-21 22:14:11.510143
114.063333 113.541667 246 0.14678241 -0.00168171 33.3330 1.0000000000 2022-12-21 22:14:13.368592
114.075000 113.566667 247 0.14670749 -0.00167916 33.3330 1.0000000000 2022-12-21 22:14:15.240222
114.088333 113.570000 248 0.14663840 -0.00167590 33.3330 1.0000000000 2022-12-21 22:14:17.129478
114.090000 113.575000 249 0.14655515 -0.00167370 33.3330 1.0000000000 2022-12-21 22:14:19.019557
114.095000 113.580000 250 0.14648409 -0.00166995 33.3330 1.0000000000 2022-12-21 22:14:20.889578
114.098333 113.583333 251 0.14640158 -0.00166689 33.3330 1.0000000000 2022-12-21 22:14:22.793616
114.096667 113.598333 252 0.14633171 -0.00166458 33.3330 1.0000000000 2022-12-21 22:14:24.739308
114.108333 113.600000 253 0.14625594 -0.00166154 33.3330 1.0000000000 2022-12-21 22:14:26.629206
114.113333 113.600000 254 0.14619450 -0.00165962 33.3330 1.0000000000 2022-12-21 22:14:28.500465
114.125000 113.615000 255 0.14612645 -0.00165720 33.3330 1.0000000000 2022-12-21 22:14:30.374928
114.136667 113.620000 256 0.14606295 -0.00165527 33.3330 1.0000000000 2022-12-21 22:14:32.252476
114.141667 113.630000 257 0.14599645 -0.00165269 33.3330 1.0000000000 2022-12-21 22:14:34.113776
